Date,Open,High,Low,Close,Adj Close,Volume
2023-09-02,0.131624,0.131912,0.131643,0.131178,0.131178,269090
2023-09-03,0.131175,0.131265,0.130805,0.130997,0.130997,178358
2023-09-04,0.131001,0.131149,0.131218,0.131073,0.131073,161742
2023-09-05,0.131069,0.132424,0.130800,0.132030,0.132030,223651
2023-09-06,0.132038,0.131161,0.132664,0.131267,0.131267,182419
2023-09-07,0.131273,0.131936,0.131087,0.131801,0.131801,225377
2023-09-08,0.131804,0.131612,0.131468,0.131622,0.131622,251813
2023-09-09,0.131620,0.131870,0.131342,0.131146,0.131146,214197
2023-09-10,0.131149,0.131614,0.131006,0.131006,0.131006,133413
2023-09-11,0.131005,0.131009,0.131626,0.131322,0.131322,207189
2023-09-12,0.131325,0.131479,0.132550,0.132797,0.132797,300892
2023-09-13,0.132803,0.132413,0.132240,0.132460,0.132460,273418
2023-09-14,0.132478,0.132025,0.132392,0.132238,0.132238,204959
2023-09-15,0.132237,0.131377,0.131003,0.130485,0.130485,227948
2023-09-16,0.130499,0.130213,0.130815,0.130480,0.130480,291043
2023-09-17,0.130475,0.130745,0.130735,0.131458,0.131458,295644
2023-09-18,0.131451,0.132822,0.131753,0.133367,0.133367,266223
2023-09-19,0.133370,0.132692,0.131584,0.131926,0.131926,349494
2023-09-20,0.131925,0.132856,0.131905,0.132164,0.132164,234590
2023-09-21,0.132164,0.132168,0.131710,0.132112,0.132112,229828
2023-09-22,0.132106,0.132358,0.131561,0.133077,0.133077,242727
2023-09-23,0.133074,0.132943,0.132111,0.132531,0.132531,172485
2023-09-24,0.132523,0.132421,0.132111,0.132110,0.132110,134921
2023-09-25,0.132119,0.132134,0.131803,0.131762,0.131762,181681
2023-09-26,0.131748,0.132171,0.131953,0.132286,0.132286,185250
2023-09-27,0.132271,0.133963,0.132303,0.133311,0.133311,386527
2023-09-28,0.133306,0.132326,0.132802,0.132684,0.132684,471775
2023-09-29,0.132687,0.130267,0.131565,0.130113,0.130113,216771
2023-09-30,0.130123,0.129151,0.129926,0.129077,0.129077,201052
2023-10-01,0.129076,0.128204,0.128609,0.128546,0.128546,145880
2023-10-02,0.128534,0.126586,0.127607,0.125822,0.125822,223550
2023-10-03,0.125823,0.127205,0.129067,0.129148,0.129148,280764
2023-10-04,0.129134,0.129474,0.128945,0.128829,0.128829,184361
2023-10-05,0.128833,0.129448,0.128611,0.129515,0.129515,216994
2023-10-06,0.129521,0.129313,0.130444,0.130746,0.130746,218369
2023-10-07,0.130737,0.129183,0.130285,0.129757,0.129757,164753
2023-10-08,0.129750,0.129774,0.129816,0.129914,0.129914,129551
2023-10-09,0.129924,0.129749,0.129524,0.129492,0.129492,163575
2023-10-10,0.129494,0.129704,0.130468,0.130213,0.130213,263470
2023-10-11,0.130212,0.132412,0.130212,0.133048,0.133048,281919
2023-10-12,0.133052,0.133073,0.131871,0.131856,0.131856,206286
2023-10-13,0.131858,0.132063,0.132021,0.133315,0.133315,196395
2023-10-14,0.133313,0.132421,0.132788,0.132733,0.132733,191319
2023-10-15,0.132735,0.133174,0.133112,0.132856,0.132856,131085
2023-10-16,0.132855,0.134348,0.133124,0.134596,0.134596,226222
2023-10-17,0.134600,0.133879,0.134600,0.134212,0.134212,325558
2023-10-18,0.134204,0.134321,0.134117,0.135202,0.135202,225262
2023-10-19,0.135198,0.135689,0.134715,0.134595,0.134595,176051
2023-10-20,0.134589,0.135100,0.134743,0.134695,0.134695,179457
2023-10-21,0.134696,0.132724,0.134839,0.132289,0.132289,209114
2023-10-22,0.132288,0.131902,0.132693,0.131533,0.131533,164454
2023-10-23,0.131542,0.130724,0.131411,0.130832,0.130832,172305
2023-10-24,0.131258,0.128766,0.130568,0.129304,0.129304,346331
2023-10-25,0.129296,0.128251,0.126810,0.126137,0.126137,368818
2023-10-26,0.126152,0.126876,0.124285,0.124298,0.124298,231784
2023-10-27,0.124301,0.123077,0.124242,0.123759,0.123759,243118
2023-10-28,0.123750,0.128090,0.123826,0.126104,0.126104,311226
2023-10-29,0.126102,0.127346,0.126038,0.127085,0.127085,137548
2023-10-30,0.127093,0.126014,0.126760,0.126504,0.126504,115754
2023-10-31,0.126496,0.125579,0.126324,0.126116,0.126116,156287
2023-11-01,0.126114,0.126013,0.125176,0.124700,0.124700,175854
2023-11-02,0.124688,0.123755,0.124687,0.123426,0.123426,208293
2023-11-03,0.123435,0.127259,0.123662,0.128669,0.128669,270773
2023-11-04,0.128659,0.128858,0.126968,0.125783,0.125783,181386
2023-11-05,0.125778,0.127894,0.125550,0.127843,0.127843,144270
2023-11-06,0.127836,0.128560,0.127863,0.128996,0.128996,221675
2023-11-07,0.128995,0.134204,0.129232,0.133976,0.133976,275763
2023-11-08,0.133986,0.134287,0.130770,0.130567,0.130567,291030
2023-11-09,0.130564,0.130370,0.129933,0.130826,0.130826,195531
2023-11-10,0.130789,0.125149,0.120351,0.118577,0.118577,526447
2023-11-11,0.118585,0.121462,0.119504,0.120825,0.120825,420352
2023-11-12,0.120833,0.122129,0.121012,0.122458,0.122458,424820
2023-11-13,0.122465,0.122533,0.121130,0.121074,0.121074,370946
2023-11-14,0.121075,0.120614,0.117204,0.117451,0.117451,432185
